epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,95891.1,1.15849,0.73567,1.14431,1,1,0.995,0.995,1.17285,0.66251,1.18848,0.005446,0.005446,0.005446
94,96841.9,1.15172,0.73272,1.14102,1,1,0.995,0.995,1.17073,0.66138,1.18753,0.0053965,0.0053965,0.0053965
95,97793.6,1.14842,0.72853,1.14148,1,1,0.995,0.995,1.16868,0.6604,1.18643,0.005347,0.005347,0.005347
96,98747.2,1.14821,0.73219,1.14192,1,1,0.995,0.995,1.16666,0.65924,1.18559,0.0052975,0.0052975,0.0052975
97,99704.7,1.14915,0.731,1.14193,1,1,0.995,0.995,1.1643,0.65788,1.18464,0.005248,0.005248,0.005248
98,100678,1.14257,0.72477,1.13851,1,1,0.995,0.995,1.1623,0.65651,1.18365,0.0051985,0.0051985,0.0051985
99,101644,1.14223,0.72408,1.13595,1,1,0.995,0.995,1.15992,0.65521,1.18246,0.005149,0.005149,0.005149
100,102602,1.1394,0.72183,1.13207,1,1,0.995,0.995,1.15801,0.65446,1.18165,0.0050995,0.0050995,0.0050995
101,103558,1.13704,0.71817,1.13155,1,1,0.995,0.995,1.1561,0.6536,1.18056,0.00505,0.00505,0.00505
102,104516,1.1356,0.71909,1.13276,1,1,0.995,0.995,1.15393,0.65276,1.17944,0.0050005,0.0050005,0.0050005
103,105473,1.13135,0.71485,1.12984,1,1,0.995,0.995,1.1518,0.65185,1.17846,0.004951,0.004951,0.004951
104,106454,1.1305,0.71913,1.13001,1,1,0.995,0.995,1.1498,0.65085,1.17752,0.0049015,0.0049015,0.0049015
105,107430,1.12743,0.70822,1.12891,1,1,0.995,0.995,1.14831,0.6498,1.17677,0.004852,0.004852,0.004852
106,108394,1.12877,0.71227,1.12588,1,1,0.995,0.995,1.14653,0.6488,1.17558,0.0048025,0.0048025,0.0048025
107,109351,1.11838,0.7021,1.12409,1,1,0.995,0.995,1.1447,0.64756,1.17445,0.004753,0.004753,0.004753
108,110308,1.12306,0.70425,1.12518,1,1,0.995,0.995,1.14308,0.64662,1.17366,0.0047035,0.0047035,0.0047035
109,111267,1.11798,0.70776,1.123,1,1,0.995,0.995,1.14126,0.64551,1.17262,0.004654,0.004654,0.004654
110,112237,1.11744,0.70386,1.12418,1,1,0.995,0.995,1.13941,0.64476,1.17173,0.0046045,0.0046045,0.0046045
111,113218,1.11396,0.69845,1.12018,1,1,0.995,0.995,1.13767,0.64398,1.17092,0.004555,0.004555,0.004555
112,114174,1.10878,0.69486,1.117,1,1,0.995,0.995,1.1355,0.64344,1.16949,0.0045055,0.0045055,0.0045055
113,115128,1.10845,0.69578,1.11707,1,1,0.995,0.995,1.1336,0.64239,1.16835,0.004456,0.004456,0.004456
114,116090,1.10297,0.69005,1.11336,1,1,0.995,0.995,1.1316,0.64095,1.16721,0.0044065,0.0044065,0.0044065
115,117050,1.10345,0.69216,1.11087,1,1,0.995,0.995,1.12945,0.64007,1.16574,0.004357,0.004357,0.004357
116,118013,1.10135,0.68824,1.11199,1,1,0.995,0.995,1.12763,0.63952,1.16465,0.0043075,0.0043075,0.0043075
117,118999,1.09646,0.69333,1.10893,1,1,0.995,0.995,1.12598,0.63823,1.16359,0.004258,0.004258,0.004258
118,119961,1.0942,0.68304,1.10836,1,1,0.995,0.995,1.12428,0.63734,1.16257,0.0042085,0.0042085,0.0042085
119,120924,1.08999,0.68173,1.1057,1,1,0.995,0.995,1.12238,0.63639,1.16137,0.004159,0.004159,0.004159
120,121887,1.08372,0.67692,1.10339,1,1,0.995,0.995,1.12072,0.63561,1.16048,0.0041095,0.0041095,0.0041095
121,122846,1.08382,0.67633,1.10398,1,1,0.995,0.995,1.11904,0.63489,1.15942,0.00406,0.00406,0.00406
122,123809,1.07875,0.67403,1.09977,1,1,0.995,0.995,1.11715,0.63425,1.15849,0.0040105,0.0040105,0.0040105
123,124793,1.07888,0.67314,1.09935,1,1,0.995,0.995,1.11547,0.63367,1.15729,0.003961,0.003961,0.003961
124,125769,1.07843,0.67284,1.10305,1,1,0.995,0.995,1.11365,0.63279,1.15629,0.0039115,0.0039115,0.0039115
